Epoch,Train_Loss,Val_Loss,mAP_50_95,mAP_50,mAP_75,Learning_Rate
34,12.622653616235612,13.247426641555059,0.12456481001316969,0.2755842233276059,0.08774909496127963,5.25655094268793e-05
35,12.322923048506391,13.242740240551177,0.12966751815552674,0.285738238584517,0.09029157217389383,4.71852338995898e-05
36,12.105023851800473,13.463956151689802,0.0564442131306736,0.12394757977196443,0.040068850212567904,4.201536739689892e-05
37,11.80257528183308,13.38750995454334,0.09991608441081633,0.22183927838859857,0.07062787697261226,3.707631302000536e-05
38,11.569098072863639,13.49715478987921,0.06524590094153189,0.14636949789315448,0.046372002803510774,3.238756296009546e-05
39,11.323275391598965,13.53324153536842,0.06438761387817347,0.13958456256501262,0.04531423320036432,2.7967621571569563e-05
40,11.106091453673992,13.606129228501093,0.06349446242191312,0.13947240582004913,0.04519452811369322,2.3833932343808972e-05
41,10.89666995697833,13.636677878243583,0.05715211514343885,0.1259885189878159,0.0402593065185192,2.000280905969273e-05
42,10.726251899435166,13.696121297563826,0.055122604245496254,0.12175984154929652,0.03850085317602242,1.6489371412549517e-05
43,10.543518965295021,13.755960237412225,0.04038115614219513,0.08952996621227377,0.0265636506590561,1.330748533563557e-05
44,10.39857239926115,13.775007792881556,0.040639248175430374,0.0909912775997098,0.027867442557113258,1.0469708279631073e-05
45,10.271923640433778,13.749702417282831,0.05177259093381604,0.11436320434765646,0.03765300228371733,7.987239654118988e-06
46,10.171822816767591,13.800178037370955,0.049553684904708406,0.11168041221491129,0.034670035603012725,5.869876628632222e-06
47,10.084386760630506,13.784414709182013,0.06094209236157406,0.13645220409254613,0.040116389390409284,4.125975467701218e-06
48,10.029443422276923,13.797456804911295,0.057692214312379836,0.1305481803139515,0.038720136704547936,2.7624185524954715e-06
49,9.99663951650579,13.807346707298642,0.052886170583244005,0.11866936040420854,0.035454637817635,1.784587219209462e-06
50,9.952330015060749,13.822712562197731,0.05050609450739062,0.11534025226497703,0.03440826761037533,1.1963405213869797e-06
