Epoch,Train_Loss,Val_Loss,mAP_50_95,mAP_50
1,26.473995034238126,11.400923556373233,0.4201244972078112,0.840253776579804
2,19.447246967478,11.204501033964611,0.4384245858606049,0.8798588167517691
3,18.8897444583,11.206728853498186,0.4486265908242131,0.8934623846598665
4,18.59409742558256,11.310345050266811,0.4395600819229005,0.8756782552620705
5,18.35835206457909,11.318475441705614,0.4289599206579418,0.8555134261868808
6,18.199709698494445,11.247093327840169,0.4279810718813463,0.8420690907283694
7,18.040163313074316,11.420329339163644,0.33974901204097413,0.651790791015563
8,17.903366011761605,11.362681397937592,0.3855508440706536,0.7578657796516269
9,17.77965648326468,11.420250783647809,0.356687127289613,0.6934185670317858
10,17.678388171500348,11.640045783633278,0.1656313123111767,0.31056734692158594
11,17.542167897934608,11.66196503412156,0.22793598843667892,0.4412987762869566
12,17.4103268105933,11.66119331178211,0.2071172060409821,0.39947099417584214
13,17.294795172265236,11.70465266818092,0.1514029130919807,0.28422733178742293
14,17.143393510453244,11.59492563520159,0.29976512935071553,0.5886768626140225
15,16.985532232041056,11.755128905886696,0.17092977826242456,0.33753589368635595
16,16.81904940808073,12.003240503583635,0.116625926067872,0.22315092110533635
17,16.649892483366298,11.857166344778879,0.11472090932041211,0.2265263219221329
18,16.498998376156422,12.054017557416643,0.07505359112917447,0.1444085344339963
19,16.301531633417657,12.059537433442616,0.13440053624565645,0.2668555206450379
20,16.10878957383176,12.162337421235584,0.06942612017934106,0.1327480735188683
21,15.962893310506294,12.1470519837879,0.08360973009805231,0.1603866417188928
22,15.753331000754173,12.208201281229655,0.04768208318964837,0.09299806845154275
23,15.617532483567583,12.144228571937198,0.0758748067719007,0.14763030803918667
24,15.438258752417058,12.373637244814919,0.03311322415065501,0.06566548398542019
25,15.320655674630023,12.273659760611398,0.03556012747438622,0.07068291932362203
