Epoch,Train_Loss,Val_Loss,mAP_50_95,mAP_50,mAP_75
1,25.602208409410842,11.389208757309687,0.4326209203407133,0.86910821846597,0.36644149171359786
1,24.928931128725093,11.264584023611887,0.4318299040824429,0.8630686318504962,0.36365740685810843
2,19.281623771342826,11.241677929106213,0.4343011735939467,0.8669031770207737,0.3621005410912
3,18.770351866458324,11.324432009742374,0.4405294075954201,0.8750537473472658,0.376786974789411
4,18.454363924391725,11.4767179670788,0.39849327017969594,0.7839573907310615,0.3402205403254204
5,18.2604580138592,11.457105945405505,0.38830582266110064,0.7743856373820561,0.32851304007569304
6,18.103958085242738,11.305466978890555,0.40975847533433707,0.8038727470341229,0.3550155309339532
7,17.963359749570806,11.513161922636487,0.3208798207353136,0.6313823582452713,0.2775056077002618
8,17.839245841858236,11.32358254932222,0.3740669269550332,0.7347962228085602,0.322428802059472
9,17.703196554995596,11.806298582894462,0.08030721362646323,0.15707927530220553,0.07096352356253398
10,17.588167210842702,11.766819881257558,0.08725485623826991,0.1640359622716296,0.08433305241733048
11,17.445766052286675,11.892542285010927,0.059009580682655965,0.11703651721271653,0.04975561115125462
12,17.268239079130456,11.833243070329939,0.06801203351945544,0.13200264928421315,0.061706858204181377
13,17.086503022782345,12.049004227774484,0.040993339447392085,0.0789502956464018,0.03605511178988789
14,16.86685148604373,12.129778680347261,0.029282790425912815,0.05851611503784578,0.025149404602237878
15,16.63080184713323,12.051501773652577,0.038647610360371634,0.08243575736927089,0.02874773842400746
16,16.362417847044924,12.350836781093053,0.013783674610516808,0.027267326732673267,0.012312100445543631
17,16.082145632074234,12.518869245620001,0.007890222867930312,0.016254993920444674,0.005924092409240924
18,15.800451085922566,12.510395949227469,0.009499937684278486,0.01746575597409365,0.009608302935556713
19,15.52101755142212,12.465870793660482,0.017208701772761837,0.03242582152952137,0.01628202105924878
20,15.288984888157946,12.314694885980515,0.04242250377541202,0.09029578425087031,0.03299443457968921
