Epoch,Train_Loss,Val_Loss,mAP_50_95,mAP_50
1,25.975930747580023,11.720495696294876,0.428539381226615,0.8589675527163677
2,19.942835113850045,11.506414831252325,0.43615861514840304,0.8709046632048487
3,19.23678768847851,11.575889850798108,0.44180613454503054,0.880484778819215
4,18.829223598317895,11.656672023591542,0.43555657486103244,0.8695493140114163
5,18.513610482723156,11.68635687146868,0.4336486120850675,0.8744011908804915
6,18.243414818986935,11.828088051932198,0.4244298320993751,0.8610264898333213
7,17.981586975746968,11.793466104779924,0.42115331082956575,0.858575703810756
8,17.71450047087162,12.037400245666504,0.41646651665257295,0.8501574109088661
9,17.414870059236566,11.87293937319801,0.42117225131813407,0.8614717717446512
10,17.089335149399776,12.194630377633231,0.40029162867845147,0.8379121869004555
11,16.74435526259402,12.434108924865722,0.3918277126982689,0.8097401239543781
12,16.372655629097146,12.494749432518368,0.39070122811656777,0.8197058968459043
13,16.0432984118766,12.432193856012253,0.38550843561750897,0.8083577789196674
14,15.678766129879241,12.708649063110352,0.3600213483342267,0.7609409750448773
15,15.329846588094183,12.605041113353911,0.36624955238727586,0.7690460165967535
16,15.026945009637386,12.69569897424607,0.35620643545846864,0.7579310556695645
17,14.723018287090545,13.115787696838378,0.2679457861312985,0.5793715393897307
