Epoch,TrainLoss,ValLoss,mAP_50_95,mAP_50,mAP_75,mAP_Small,mAP_Medium
1,84.0280,0,-1.0000,0.6620,0.2782,0.3146,0.3931
2,23.1221,0,-1.0000,0.8431,0.3749,0.4145,0.4834
3,20.2478,0,-1.0000,0.8765,0.3874,0.4329,0.4929
4,19.5699,0,-1.0000,0.8900,0.4007,0.4445,0.5012
5,19.1688,0,-1.0000,0.8678,0.3907,0.4341,0.4969
6,18.9129,0,-1.0000,0.8128,0.3697,0.4020,0.4802
7,18.6366,0,-1.0000,0.5371,0.2604,0.2648,0.3607
8,18.4099,0,-1.0000,0.3080,0.1605,0.1513,0.2291
9,18.2102,0,-1.0000,0.1848,0.1042,0.0887,0.1565
10,18.0522,0,-1.0000,0.1312,0.0726,0.0638,0.1060
11,17.8786,0,-1.0000,0.0738,0.0419,0.0337,0.0706
12,17.6440,0,-1.0000,0.0856,0.0481,0.0417,0.0717
13,17.4162,0,-1.0000,0.0528,0.0279,0.0244,0.0455
14,17.1210,0,-1.0000,0.0627,0.0305,0.0314,0.0415
15,16.7217,0,-1.0000,0.0456,0.0179,0.0199,0.0288
16,16.2500,0,-1.0000,0.0215,0.0074,0.0093,0.0127
17,15.7138,0,-1.0000,0.0351,0.0143,0.0157,0.0239
18,15.2453,0,-1.0000,0.0410,0.0162,0.0184,0.0251
19,14.9355,0,-1.0000,0.0410,0.0174,0.0189,0.0265
20,14.7947,0,-1.0000,0.0412,0.0158,0.0178,0.0282
1,130.0558,0,0.1952,0.4028,0.1620,0.1857,0.2376
2,25.3546,0,0.3879,0.7787,0.3295,0.3711,0.4593
3,20.9313,0,0.4411,0.8667,0.3809,0.4285,0.4917
4,19.8588,0,0.4563,0.8812,0.4113,0.4433,0.5078
5,19.3266,0,0.4534,0.8827,0.3971,0.4424,0.5000
6,18.9609,0,0.4517,0.8836,0.3935,0.4414,0.4975
7,18.6441,0,0.4464,0.8705,0.3902,0.4353,0.4921
8,18.4008,0,0.4445,0.8561,0.3905,0.4326,0.4923
9,18.2171,0,0.4366,0.8361,0.3961,0.4249,0.4840
10,18.0316,0,0.4245,0.8150,0.3823,0.4107,0.4783
11,17.8089,0,0.3791,0.7152,0.3535,0.3632,0.4431
12,17.5856,0,0.3348,0.6248,0.3121,0.3165,0.4034
13,17.3157,0,0.2967,0.5651,0.2712,0.2763,0.3757
14,16.9531,0,0.2764,0.5261,0.2546,0.2574,0.3510
15,16.5046,0,0.2511,0.4836,0.2231,0.2325,0.3217
16,15.9710,0,0.2288,0.4420,0.2004,0.2085,0.3058
17,15.4688,0,0.1964,0.3858,0.1695,0.1789,0.2649
18,15.0835,0,0.1897,0.3735,0.1643,0.1722,0.2567
19,14.8070,0,0.1905,0.3765,0.1617,0.1730,0.2584
20,14.6881,0,0.1901,0.3748,0.1616,0.1720,0.2595
