Epoch,TrainLoss,ValLoss,mAP_50_95,mAP_50,mAP_75,mAP_Small,mAP_Medium
1,71.3830,0,-1.0000,0.4681,0.1809,0.2132,0.2803
2,22.4640,0,-1.0000,0.8385,0.3568,0.4074,0.4677
3,20.0966,0,-1.0000,0.8871,0.3915,0.4400,0.4929
4,19.3969,0,-1.0000,0.8991,0.3885,0.4420,0.4991
5,19.0553,0,-1.0000,0.9008,0.4016,0.4497,0.5017
6,18.7834,0,-1.0000,0.8900,0.4049,0.4472,0.4988
7,18.5160,0,-1.0000,0.8495,0.3964,0.4277,0.4869
8,18.3246,0,-1.0000,0.6710,0.3162,0.3321,0.4076
9,18.1691,0,-1.0000,0.5286,0.2540,0.2568,0.3595
10,17.9907,0,-1.0000,0.4355,0.2181,0.2111,0.3053
11,17.7936,0,-1.0000,0.2276,0.1097,0.1069,0.1741
12,17.6010,0,-1.0000,0.1598,0.0765,0.0739,0.1264
13,17.3762,0,-1.0000,0.1077,0.0500,0.0489,0.0834
14,17.1005,0,-1.0000,0.0422,0.0225,0.0222,0.0311
15,16.7350,0,-1.0000,0.0786,0.0388,0.0401,0.0468
16,16.2845,0,-1.0000,0.0500,0.0238,0.0244,0.0351
17,15.7875,0,-1.0000,0.0499,0.0258,0.0243,0.0357
18,15.3689,0,-1.0000,0.0516,0.0240,0.0238,0.0365
19,15.0693,0,-1.0000,0.0493,0.0208,0.0224,0.0336
20,14.9398,0,-1.0000,0.0522,0.0217,0.0245,0.0349
