Epoch,Train_Loss,Val_Loss,mAP_50_95,mAP_50,mAP_75
1,29.345763174016426,11.779411025274367,0.42760723426862685,0.8450252182352925,0.37202864273882774
2,19.85170957078325,11.271663956415086,0.4473849801413366,0.8775402550787341,0.3938927048791718
3,19.153055107847173,11.15931464603969,0.45131356797290306,0.8947539136006921,0.3945142517348221
4,18.836390870682738,11.155627350580124,0.45708038101899845,0.9019823109144508,0.3948892359213259
5,18.57969453892809,11.109253638131278,0.4452330266752823,0.8957297406864537,0.36744276229454265
6,18.385471727492963,11.251509439377557,0.4479889165531132,0.9004588528129732,0.3714322236018914
7,18.255891687312026,11.281666692097982,0.4515856494067826,0.8988237512784544,0.3814705585957
8,18.089304338617527,11.287782986958822,0.4414813174554767,0.8921214810030735,0.36808669975443203
9,18.003323118737402,11.424739973885673,0.43833264682122536,0.8837879064367801,0.3624886421534812
10,17.894536695074528,11.766389120192756,0.4395112212736894,0.8759031898778988,0.37430360682943914
