Epoch,Train_Loss,Val_Loss,mAP_50_95,mAP_50,LR
1,1407.5057,2115.8563,0.0,0.0,6.349783026554217e-06
2,62.1517,130.6789,0.0047,0.012,1.3169070428221762e-05
3,24.6655,20.8057,0.2656,0.5293,2.3790201963767935e-05
4,21.0023,13.0477,0.4192,0.8332,3.717328785798329e-05
5,19.7673,11.7718,0.4414,0.8654,5.200802194098682e-05
6,19.2657,10.9593,0.4659,0.8999,6.684197061479156e-05
7,18.9853,10.8838,0.4636,0.9016,8.022277717896075e-05
8,18.7247,10.7787,0.4716,0.9076,9.084035862740728e-05
9,18.4738,10.7688,0.4717,0.9139,9.765517276552212e-05
10,18.2456,10.8148,0.4686,0.9114,9.999999982547312e-05
11,18.0717,10.9795,0.4595,0.8964,9.984553935588626e-05
12,17.9298,11.1519,0.4482,0.877,9.938376579391306e-05
13,17.7687,11.2731,0.3878,0.7347,9.861752612711835e-05
14,17.6568,11.4289,0.2588,0.4835,9.755154447784847e-05
15,17.5155,11.4785,0.1849,0.343,9.619239297744604e-05
