Epoch,Train_Loss,Val_Loss,mAP_50_95,mAP_50,LR
1,1662.9191,2044.4177,0.0,0.0,5.216226223012002e-06
2,80.3559,79.5388,0.0029,0.0076,1.4002895632248838e-05
3,24.6856,15.9168,0.337,0.6664,2.600501518046677e-05
4,21.0903,12.1465,0.4186,0.8284,3.8005790565773835e-05
5,19.9161,11.253,0.4411,0.8623,4.678878774727825e-05
6,19.3602,11.076,0.4449,0.8812,4.999999986357832e-05
7,18.9807,10.8224,0.4544,0.8945,4.9785781357353295e-05
8,18.6464,10.8183,0.4585,0.8974,4.914747297121482e-05
9,18.4278,10.7527,0.4605,0.8974,4.809599633862227e-05
10,18.2285,10.8433,0.4534,0.8933,4.664934251628366e-05
11,18.0669,11.0155,0.4417,0.8802,4.483226415218746e-05
12,17.905,11.154,0.4322,0.8625,4.267585196093263e-05
13,17.749,11.2634,0.4128,0.8235,4.021700275298196e-05
14,17.5736,11.3298,0.3776,0.749,3.749778812000527e-05
15,17.4096,11.4585,0.2891,0.5664,3.456473457828153e-05
16,17.1917,11.5604,0.1983,0.3854,3.1468027487105695e-05
17,16.9324,11.6569,0.1209,0.2436,2.8260652363377206e-05
