Epoch,Train_Loss,Val_Loss,mAP_50_95,mAP_50,LR
1,1081.7331,1107.5329,0.0,0.0001,1.0432452446024003e-05
2,29.3697,26.4834,0.2546,0.5035,2.8005791264497677e-05
3,21.4766,12.7508,0.4069,0.8041,5.201003036093354e-05
4,20.038,11.2623,0.4325,0.861,7.601158113154767e-05
5,19.4715,10.9198,0.4482,0.8831,9.35775754945565e-05
6,19.0534,10.9438,0.4557,0.8952,9.999999972715664e-05
7,18.7003,10.8912,0.4584,0.895,9.957156271470659e-05
8,18.4466,11.0411,0.4552,0.8921,9.829494594242964e-05
9,18.2575,11.1867,0.4386,0.8651,9.619199267724454e-05
10,18.2345,11.3172,0.4111,0.8122,9.329868503256732e-05
11,17.9908,11.406,0.2954,0.5727,8.966452830437493e-05
