Epoch,Train_Loss,Val_Loss,mAP_50_95,mAP_50,LR
1,1031.9022,1036.9758,0.0,0.0,1.0432452446024003e-05
2,29.9888,28.3855,0.0595,0.1193,2.8005791264497677e-05
3,21.6383,13.119,0.3989,0.7863,5.201003036093354e-05
4,20.0698,11.2549,0.4413,0.869,7.601158113154767e-05
5,19.5369,11.0246,0.4497,0.8831,9.35775754945565e-05
6,19.0467,11.1684,0.4543,0.8848,9.999999972715664e-05
7,18.6945,11.2338,0.4502,0.8786,9.957156271470659e-05
8,18.4882,11.3891,0.4045,0.772,9.829494594242964e-05
9,18.302,11.5536,0.2323,0.4354,9.619199267724454e-05
10,18.1367,11.5939,0.0848,0.1469,9.329868503256732e-05
11,17.977,11.6676,0.0437,0.0731,8.966452830437493e-05
12,17.8381,11.7352,0.0191,0.0306,8.535170392186526e-05
13,17.6938,11.7801,0.01,0.0165,8.043400550596393e-05
14,17.5425,11.7885,0.0093,0.0141,7.499557624001054e-05
15,17.3465,11.812,0.0091,0.0154,6.912946915656305e-05
1,1123.5531,1132.0939,0.0,0.0001,6.349659158633739e-06
2,40.2006,39.8676,0.0295,0.0644,1.3168599211128653e-05
3,24.1379,14.7345,0.3462,0.6762,2.378922911804642e-05
4,21.098,12.0564,0.419,0.8283,3.717176303225171e-05
5,20.0342,11.2283,0.4396,0.8657,5.2006017896359534e-05
6,19.4906,10.9608,0.4517,0.8815,6.683968359358e-05
7,19.1213,10.8287,0.4652,0.8966,8.02205076880137e-05
8,18.8361,10.9771,0.4583,0.8907,9.083847451784596e-05
9,18.6698,11.0885,0.4536,0.889,9.765405895775237e-05
10,18.5062,11.2059,0.4507,0.8808,9.99999999017764e-05
11,18.343,11.2556,0.4417,0.8643,9.984562130988512e-05
12,18.1945,11.3266,0.4084,0.7943,9.938392912033383e-05
13,18.0751,11.4002,0.3014,0.584,9.861776981899935e-05
14,17.9324,11.4539,0.1964,0.3732,9.755186703274821e-05
15,17.8292,11.5229,0.0715,0.1355,9.619279240670631e-05
