Epoch,Train_Loss,Val_Loss,mAP_50_95,mAP_50,LR
1,291.5225,121.773,0.0001,0.0003,4.590991038741274e-06
2,30.9652,18.2841,0.199,0.3956,6.34941122130373e-06
3,24.2445,13.5822,0.3954,0.7728,9.231960107260859e-06
4,21.3939,11.8795,0.4244,0.8341,1.3167656006598765e-05
5,20.1215,11.2797,0.4368,0.8641,1.8059583877329092e-05
6,19.5382,11.0802,0.4399,0.8703,2.3787281822211436e-05
7,19.2453,10.9501,0.4526,0.8837,3.020970741799401e-05
8,19.0066,10.9204,0.4599,0.8951,3.716871083242311e-05
9,18.7811,10.9285,0.4571,0.8944,4.4492929204811294e-05
10,18.6286,10.9349,0.4623,0.8973,5.2002006392497515e-05
11,18.5308,10.9924,0.4622,0.9012,5.9511034173517647e-05
12,18.4014,11.1013,0.4586,0.9001,6.683510554252826e-05
13,18.3226,11.1041,0.4566,0.8959,7.379386797677158e-05
14,18.2574,11.2205,0.4486,0.882,8.02159645496073e-05
15,18.1802,11.2464,0.425,0.8376,8.594325353084888e-05
16,18.1184,11.3112,0.3793,0.7434,9.083470256782151e-05
17,18.0286,11.3832,0.3169,0.6196,9.476986155438727e-05
