Epoch,Train_Loss,Val_Loss,mAP_50_95,mAP_50,LR
1,773.3967,229.2759,0.0,0.0001,6.349535234565358e-06
2,29.6721,17.5865,0.2735,0.5464,1.3168127779158748e-05
3,22.2622,12.2587,0.4091,0.8134,2.3788255824044074e-05
4,20.2604,11.212,0.4454,0.8708,3.717023749267739e-05
5,19.6498,11.0346,0.4543,0.8907,5.200401289177701e-05
6,19.2925,10.8956,0.4619,0.897,6.683739543960069e-05
7,18.9967,10.9206,0.463,0.897,8.021823701348598e-05
8,18.7682,11.0797,0.461,0.8959,9.083658933235037e-05
9,18.6201,11.2437,0.4515,0.8877,9.76529443584355e-05
10,18.4529,11.2619,0.4342,0.8488,9.999999995632184e-05
11,18.3547,11.4748,0.3628,0.7091,9.984570328576857e-05
12,18.2547,11.4614,0.2617,0.5089,9.938409251214673e-05
13,18.0635,11.497,0.1954,0.3764,9.861801361937684e-05
