Epoch,Train_Loss,Val_Loss,mAP_50_95,mAP_50,LR
1,313.7165,120.0484,0.0016,0.0037,8.345516315920156e-06
2,27.3698,15.2652,0.3496,0.6714,2.2403089317982666e-05
3,21.2137,11.6208,0.4277,0.8383,4.1605350712210926e-05
4,19.9262,11.0896,0.4499,0.8768,6.080617813888796e-05
5,19.3476,10.9477,0.4589,0.8939,7.485983353535059e-05
6,18.9207,11.2011,0.461,0.8984,7.99999999029374e-05
7,18.6232,10.9881,0.4634,0.8994,7.965743200704743e-05
8,18.3916,11.0916,0.4483,0.87,7.863631719204387e-05
9,18.2116,11.1741,0.4194,0.8054,7.695412701551792e-05
10,18.0736,11.2978,0.3893,0.7483,7.463964421778119e-05
11,17.918,11.3077,0.3564,0.6827,7.173247024119881e-05
12,17.7913,11.3952,0.2683,0.5088,6.828234763853102e-05
