Epoch,Train_Loss,Val_Loss,mAP_50_95,mAP_50,LR
1,1341.423,2095.6624,0.0,0.0,6.349783026554217e-06
2,66.4359,146.8953,0.0029,0.0084,1.3169070428221762e-05
3,24.327,19.7487,0.3284,0.6433,2.3790201963767935e-05
4,20.7487,12.81,0.4303,0.8409,3.717328785798329e-05
5,19.638,11.3507,0.4517,0.8833,5.200802194098682e-05
6,19.1696,11.0282,0.4522,0.8857,6.684197061479156e-05
7,18.9116,10.8314,0.4583,0.8999,8.022277717896075e-05
8,18.645,10.8429,0.4603,0.904,9.084035862740728e-05
9,18.4272,10.9935,0.4394,0.8765,9.765517276552212e-05
10,18.2299,11.0602,0.4372,0.871,9.999999982547312e-05
11,18.0547,11.156,0.4341,0.8545,9.984553935588626e-05
12,17.8972,11.2982,0.3705,0.719,9.938376579391306e-05
13,17.7558,11.3875,0.2458,0.4712,9.861752612711835e-05
14,17.6181,11.5023,0.0936,0.1701,9.755154447784847e-05
