Epoch,Train_Loss,Val_Loss,mAP_50_95,mAP_50,LR
1,2651.2342,2976.6079,0.0005,0.001,2.0864904892048007e-06
2,485.2416,590.4835,0.0,0.0,5.601158252899535e-06
3,46.9532,42.9686,0.0055,0.0117,1.0402006072186709e-05
4,26.0693,16.5949,0.2721,0.5307,1.5202316226309535e-05
5,21.884,12.6271,0.4142,0.8174,1.87155150989113e-05
6,20.3038,11.4946,0.4322,0.8539,1.9999999945431327e-05
7,19.5564,11.0873,0.4429,0.8672,1.991431254294132e-05
8,19.1124,10.95,0.4493,0.8793,1.965898918848593e-05
9,18.832,10.8259,0.4529,0.8851,1.9238398535448906e-05
10,18.6135,10.8309,0.4546,0.8876,1.8659737006513465e-05
11,18.4174,10.7961,0.4579,0.8931,1.7932905660874983e-05
12,18.2484,10.7722,0.4579,0.8955,1.7070340784373052e-05
13,18.0608,10.8262,0.4526,0.8909,1.6086801101192786e-05
14,17.8949,10.8396,0.4518,0.8913,1.499911524800211e-05
15,17.7078,10.8547,0.4513,0.8916,1.3825893831312614e-05
16,17.5168,10.9195,0.4507,0.8912,1.2587210994842281e-05
17,17.2854,10.9636,0.4449,0.8863,1.1304260945350884e-05
18,17.0242,11.0031,0.4435,0.8865,9.998995313886175e-06
19,16.7495,11.0812,0.4372,0.8808,8.693747557290513e-06
20,16.4252,11.1484,0.4337,0.8816,7.410850826562296e-06
21,16.1305,11.2041,0.4308,0.8791,6.172255840450461e-06
22,15.836,11.2794,0.4285,0.8777,4.999155302570779e-06
