Epoch,Train_Loss,Val_Loss,mAP_50_95,mAP_50,LR
1,1429.1099,2397.3614,0.0,0.0,6.349783026554217e-06
2,64.689,134.4842,0.0009,0.002,1.3169070428221762e-05
3,24.6082,20.4333,0.3443,0.6594,2.3790201963767935e-05
4,20.9792,13.0148,0.4335,0.8423,3.717328785798329e-05
5,19.7499,11.4494,0.4444,0.8731,5.200802194098682e-05
6,19.2759,11.0248,0.4517,0.8847,6.684197061479156e-05
7,18.9717,11.0035,0.4521,0.8902,8.022277717896075e-05
8,18.6858,10.8581,0.4569,0.8988,9.084035862740728e-05
9,18.4494,10.8553,0.4584,0.9033,9.765517276552212e-05
10,18.2574,10.9238,0.4519,0.8974,9.999999982547312e-05
11,18.0688,11.0427,0.4498,0.8902,9.984553935588626e-05
12,17.9209,11.2194,0.4373,0.8704,9.938376579391306e-05
13,17.7673,11.3053,0.3796,0.7455,9.861752612711835e-05
14,17.6316,11.3874,0.2084,0.3984,9.755154447784847e-05
15,17.4951,11.4894,0.1128,0.2082,9.619239297744604e-05
