Epoch,Train_Loss,Val_Loss,mAP_50_95,mAP_50,LR
1,1447.5058,2193.3008,0.0,0.0002,6.349783026554217e-06
2,65.7291,154.6845,0.0004,0.0019,1.3169070428221762e-05
3,25.5027,21.6519,0.0968,0.1962,2.3790201963767935e-05
4,21.3002,13.4064,0.346,0.6837,3.717328785798329e-05
5,19.9249,11.4592,0.4422,0.8686,5.200802194098682e-05
6,19.341,11.0935,0.4305,0.8522,6.684197061479156e-05
7,19.0023,10.9148,0.4496,0.8936,8.022277717896075e-05
8,18.7,10.7295,0.4655,0.9064,9.084035862740728e-05
9,18.4749,10.8266,0.454,0.8943,9.765517276552212e-05
10,18.2758,11.0059,0.4412,0.8807,9.999999982547312e-05
11,18.1128,11.2117,0.3801,0.76,9.984553935588626e-05
12,17.952,11.3913,0.2047,0.4069,9.938376579391306e-05
13,17.801,11.5013,0.1157,0.2314,9.861752612711835e-05
