Epoch,Train_Loss,Val_Loss,mAP_50_95,mAP_50,LR
1,2748.8134,3538.418,0.0,0.0001,2.568958643305837e-06
2,287.5534,380.5256,0.0,0.0001,4.24885841174064e-06
3,42.9653,40.6895,0.0027,0.0068,6.960049847542883e-06
4,27.529,17.4793,0.1503,0.2967,1.0573986633957851e-05
5,23.4161,13.5023,0.3746,0.7444,1.4919320390069568e-05
6,21.1406,12.0044,0.4049,0.8139,1.9790024849329007e-05
7,20.0715,11.3469,0.4223,0.8434,2.495516422831251e-05
8,19.5325,11.0781,0.4406,0.8715,3.016984263589074e-05
9,19.1763,11.2325,0.4398,0.873,3.518681537605937e-05
10,18.9541,10.9962,0.4483,0.8837,3.976821161517267e-05
11,18.7266,11.0902,0.4413,0.8725,4.3696812604176266e-05
12,18.5547,11.2573,0.4307,0.8461,4.6786350719004066e-05
13,18.3708,11.4101,0.3903,0.756,4.889034100846821e-05
14,18.2539,11.5342,0.2429,0.4538,4.990902651751685e-05
