Epoch,Train_Loss,Val_Loss,mAP_50_95,mAP_50,LR
1,1120.5879,1094.8831,0.0,0.0,5.137917286611674e-06
2,49.1217,53.4071,0.0127,0.0315,8.49771682348128e-06
3,25.8125,17.1062,0.3377,0.6601,1.3920099695085767e-05
4,21.9615,12.6358,0.414,0.8203,2.1147973267915702e-05
5,20.3686,11.5854,0.4385,0.8672,2.9838640780139136e-05
6,19.6601,11.1942,0.4416,0.873,3.9580049698658014e-05
7,19.3078,11.0744,0.4523,0.8877,4.991032845662502e-05
8,19.0387,10.9197,0.4613,0.8957,6.033968527178148e-05
9,18.8091,10.8836,0.4671,0.8992,7.037363075211873e-05
10,18.6138,10.8422,0.4724,0.9126,7.953642323034533e-05
11,18.4837,10.9285,0.469,0.9132,8.739362520835253e-05
12,18.3466,10.9382,0.465,0.9054,9.357270143800813e-05
13,18.2449,10.9833,0.463,0.9031,9.778068201693642e-05
14,18.1241,11.1359,0.4543,0.891,9.98180530350337e-05
15,18.0216,11.3043,0.4345,0.8531,9.997315822278348e-05
16,17.8859,11.3815,0.2687,0.5055,9.980954593013777e-05
