Epoch,Train_Loss,Val_Loss,mAP_50_95,mAP_50,LR
1,1309.7882,2050.1086,0.0,0.0,5.079727326906991e-06
2,65.5235,72.4625,0.0024,0.0055,1.0534879368902909e-05
3,25.9338,16.9936,0.3127,0.6051,1.9031383294437132e-05
4,21.5862,12.5103,0.4125,0.8164,2.973741042580136e-05
5,20.1093,11.4277,0.4403,0.866,4.160481431708763e-05
6,19.5308,11.0495,0.4501,0.8796,5.3471746874864e-05
7,19.2192,10.9678,0.4261,0.8354,6.417640615041095e-05
8,18.9162,10.8872,0.4599,0.8966,7.267077961427676e-05
9,18.6517,11.005,0.4528,0.8898,7.81232471662019e-05
10,18.4425,11.2201,0.4452,0.8797,7.999999992142111e-05
11,18.2844,11.3124,0.4254,0.8312,7.98764970479081e-05
12,18.1289,11.4316,0.3194,0.6041,7.950714329626707e-05
13,18.0229,11.4937,0.1544,0.2869,7.889421585519949e-05
14,17.9046,11.4869,0.1189,0.2221,7.804149362619857e-05
15,17.7892,11.611,0.0449,0.0829,7.695423392536505e-05
