Epoch,Train_Loss,Val_Loss,mAP_50_95,mAP_50,LR
1,828.393,279.7948,0.0002,0.0007,6.349535234565358e-06
2,31.0135,17.9731,0.1993,0.3957,1.3168127779158748e-05
3,22.4996,12.4135,0.4058,0.8049,2.3788255824044074e-05
4,20.3448,11.2641,0.4383,0.8642,3.717023749267739e-05
5,19.6326,10.9537,0.4418,0.8737,5.200401289177701e-05
6,19.2387,10.9437,0.4484,0.8841,6.683739543960069e-05
7,18.9149,11.0874,0.4479,0.8834,8.021823701348598e-05
8,18.7083,11.334,0.387,0.7666,9.083658933235037e-05
9,18.5746,11.5433,0.2189,0.431,9.76529443584355e-05
10,18.4189,11.6782,0.0667,0.1288,9.999999995632184e-05
11,18.2939,11.6893,0.0378,0.0629,9.984570328576857e-05
12,18.166,11.7757,0.0194,0.0355,9.938409251214673e-05
13,18.0368,11.7747,0.0172,0.0343,9.861801361937684e-05
14,17.938,11.8199,0.0118,0.0199,9.75521897385799e-05
15,17.8215,11.7631,0.0292,0.0521,9.619319202840341e-05
